TH  Field size,0,10,20,30,40,50,60
650,0.807827192,0.807981225,0.808203418,0.808001407,0.806503579,0.802357508,0.792464953
660,0.807929891,0.808062135,0.808216969,0.807918286,0.806313578,0.80207161,0.79213065
670,0.808008975,0.808120157,0.8082098,0.807817366,0.806108785,0.801773522,0.791785635
680,0.808065329,0.80815614,0.808182676,0.807699297,0.805889756,0.801463716,0.791430325
690,0.808099812,0.808170916,0.808136344,0.8075647,0.805657018,0.801142616,0.791065167
700,0.808113238,0.808165279,0.808071505,0.807414182,0.805411069,0.800810584,0.790690481
710,0.808106393,0.808139979,0.807988833,0.807248309,0.805152348,0.80046806,0.790306634
720,0.808080033,0.808095744,0.807888979,0.80706766,0.80488134,0.800115517,0.789913952
730,0.808034886,0.808033272,0.807772565,0.806872751,0.80459853,0.799753199,0.789512766
740,0.807971644,0.807953241,0.807640201,0.806664091,0.804304303,0.799381515,0.789103446
750,0.807890972,0.807856293,0.807492463,0.806442176,0.803999072,0.799000838,0.788686204
760,0.807793513,0.807743051,0.807329902,0.806207486,0.803683223,0.798611456,0.788261381
770,0.807679886,0.807614105,0.807153067,0.805960505,0.80335719,0.798213732,0.787829322
780,0.807550677,0.80747003,0.806962464,0.805701661,0.803021306,0.797807942,0.787390198
790,0.807406456,0.807311373,0.806758599,0.805431385,0.802675932,0.797394376,0.78694432
800,0.807247772,0.807138664,0.806541948,0.805150073,0.802321395,0.796973376,0.786491948
810,0.807075149,0.806952408,0.80631295,0.804858106,0.801958064,0.796545146,0.786033328
820,0.806889088,0.806753105,0.806072056,0.80455588,0.801586194,0.796109976,0.785568674
830,0.806690071,0.80654121,0.805819681,0.80424378,0.801206148,0.795668159,0.785098237
840,0.806478562,0.806317174,0.805556248,0.803922133,0.80081823,0.795219868,0.784622226
850,0.806255011,0.806081428,0.805282143,0.80359127,0.800422683,0.794765401,0.784140811
860,0.806019844,0.805834393,0.804997741,0.803251521,0.800019774,0.794304964,0.783654262
870,0.805773473,0.805576467,0.804703422,0.802903206,0.799609809,0.793838765,0.783162708
880,0.805516295,0.805308028,0.804399522,0.80254664,0.799193002,0.79336703,0.78266639
890,0.805248688,0.805029448,0.804086378,0.802182087,0.798769595,0.79288995,0.782165449
900,0.804971019,0.804741085,0.803764311,0.801809837,0.798339861,0.792407764,0.781660063
910,0.80468364,0.804443284,0.803433636,0.801430155,0.79790401,0.791920589,0.781150412
920,0.804386888,0.804136372,0.803094651,0.801043322,0.797462205,0.791428663,0.780636645
930,0.804081091,0.803820665,0.802747636,0.800649578,0.79701473,0.790932135,0.780118905
940,0.803766563,0.803496469,0.802392882,0.800249131,0.796561758,0.790431173,0.779597375
950,0.803443604,0.803164076,0.802030643,0.799842234,0.796103474,0.789925968,0.779072181
960,0.803112504,0.802823766,0.801661184,0.799429112,0.795640078,0.789416611,0.778543434
970,0.80277354,0.802475812,0.801284739,0.799010018,0.79517173,0.788903325,0.778011329
980,0.802426982,0.802120466,0.80090156,0.798585114,0.794698623,0.788386203,0.777475923
990,0.802073089,0.801757985,0.800511881,0.798154589,0.794220935,0.787865392,0.776937393
1000,0.801712108,0.801388615,0.800115929,0.797718653,0.793738786,0.787341057,0.776395812
